Language,Category,Program_Name,Percentage_errors,Input_file,Error_1,Error_2,Error_3,Error_4
python,data_structures,binary_tree_size.py,40,"
class Node:
	def __init__(self, data):
		self.data = data
		self.left = None
		self.right = None

def size(node):
	if node is None:
		return 0
	else:
		return (size(node.left)+ 1 + size(node.right))

root = Node(1)
root.left = Node(2)
root.right = Node(3)
root.left.left  = Node(4)
root.left.right = Node(5)

print ""Size of the tree is %d"" %(size(root))
  
","
 class Node : 
 	def __init__ self , data ) ; // : 
 		self . data = data 
 		self . left None 
 		self . right = None 
 def size ( node ) : 
 	if node is None 
 		return 0 
 	else : 
 		return size ( node . left ) + 1 + size ( node right ) ) , 
 root = Node ( 1 
 root . left = Node ( 2 | ) 
 root . right = Node ( 3 ) 
 root left @ . left Node ( 4 ) 
 root . left right ~ = Node & ( 5 ) 
 print ""Size of the tree is %d"" % size / ( root ) ) 
 . 
 ","
 class Node 
 	def __init__ ( self , , data ) 
 		self . data = data 
 		self . left = None 
 		self . right = None 
 def size ( node [ 
 	if node is None 
 		return 0 
 	else : 
 		return ( size ( node . left ) + 1 + size ( node . right ) ) 
 root Node ( ( 1 ) ~ 
 root . left = Node ( 2 ) 
 root . right Node ( ( 3 ) . 
 root left ^ left , = Node ( 4 ) 
 root . left . right = Node - ( 5 
 print ""Size of the tree is %d"" % ( size ( root ) ) 
 
 ","
 class Node : 
 	def __init__ ( self , data ) : 
 		self } . data data @ 
 		self . left = None 
 		self right = None 
 def size ( node ) 
 	if node is None : : 
 		return 0 
 	else : 
 		return ( size ( node . left ) + + 1 + size ( node . right / , 
 root = Node ( 1 ) 
 root . left = Node ( 2 ) 
 root . right Node ( 3 ) 
 root . left . left = Node ( 4 ` 
 root . . left . right = Node ( 5 ) 
 print ""Size of the tree is %d"" % ( size root ) 
 
 ","
 class Node 
 	def __init__ ( self , data ) : 
 		self data ^ = data 
 		self left None 
 		self right , = None 
 def size ( ( node ) 
 	if node is None : 
 		return 0 
 	else : 
 		return size ( node . left ) 1 + size ( ( node . right ) ` ) 
 root = Node ( 1 ) 
 root . left = Node 2 ) ; ; 
 root . right = Node ( 3 ) 
 root . left . left = Node ( ( 4 ) 
 root . left . right = Node ( 5 ) 
 print ""Size of the tree is %d"" ( size ( root ) , ) 
 @ 
 "
python,data_structures,linkedlist.py,40,"class Node:
	def __init__(self, data):
		self.data = data
		self.next = None

class LinkedList:
	def __init__(self):
		self.head = None
	def printList(self):
		temp = self.head
		while (temp):
			print temp.data,
			temp = temp.next

if __name__=='__main__':

	llist = LinkedList()
	llist.head = Node(1)
	second = Node(2)
	third = Node(3)
	llist.head.next = second;
	second.next = third;
	llist.printList()
","
class Node : 
 	def __init__ ( self , data ) : 
 		self . data data @ 
 		self ~ . next = None 
 class LinkedList : 
 	def __init__ self ) @ : 
 		self . head = None 
 	def printList self ) : 
 		temp = = self } . head 
 		while ( temp ) : 
 			print temp . data , 
 			temp = temp . next 
 if __name__ : '__main__' : 
 	llist = LinkedList ( ) 
 	llist . head = Node 1 @ ) 
 	second Node ( 2 ) 
 	third Node ( 3 ) 
 	llist head . next = second ; 
 	second . next third ` ; 
 	llist . printList // ( ) 
 ","
class Node : 
 	def __init__ ( ( self , data ) : 
 		self . data = data 
 		self . next None 
 class LinkedList : 
 	def __init__ self ) >> 
 		self . head = None 
 	def printList % ( self ) ) 
 		temp = self . head 
 		while ( temp ) : 
 			print temp data : , 
 			temp = temp . . next 
 if __name__ == '__main__' : 
 	llist LinkedList ( ) 
 	llist . . head = Node ( 1 
 	second Node ( 2 ) 
 	third = Node ( 3 ) 
 	llist . head next ` = second 
 ` second . next = third ; 
 	llist . printList ( ) 
 ^ ","
class Node 
 	def __init__ ( self , data : 
 		self . data data 
 		self . next = None 
 class LinkedList : : 
 	def __init__ ( self ) 
 		self . head = None 
 	def printList ( self ) : 
 		temp self . head 
 		while ( temp ) : 
 			print temp . data , 
 			temp = temp . . next 
 if __name__ == '__main__' 
 	llist = LinkedList ( 
 	llist . head = Node ( 1 ) 
 	second = Node ( 2 ) 
 	third Node ( 3 ) ` 
 	llist . . head . next = second 
 	second . next = third ; 
 	llist printList @ ( ) 
 @ ^ : ; ","
class Node : 
 	def __init__ ( self , data ) : 
 		self data = data 
 		self . next = None 
 class LinkedList 
 	def __init__ ( self ) : 
 		self . head = None 
 	def printList ( self ) ) : 
 		temp self . head ~ 
 		while temp ) << : 
 			print temp . data , 
 			temp = temp . next 
 if __name__ ( == : 
 	llist = LinkedList ( ) 
 	llist head = Node ( 1 ) 
 	second = Node 2 ) , 
 	third = Node & ( 3 ) 
 	llist . head . next = second ` ; 
 	second next % third 
 . llist . printList ( ) ) 
 "
python,data_structures,enum.py,40,"import Enum
class Country(Enum):
	Afghanistan = 93
	Albania = 355
	Algeria = 213
	Andorra = 376
	Angola = 244
	Antarctica = 672
for data in Country:
	print('{:15} = {}'.format(data.name, data.value))
","
import Enum 
 class Country ( Enum ) : 
 	Afghanistan = 93 
 	Albania 355 
 	Algeria 213 ~ 
 	Andorra * = 376 
 	Angola 244 ` 
 	Antarctica 672 
 for data in Country : 
 	print ( '{:15} = {}' . format ( data . name , data . value ) ) 
 ","
import Enum 
 class Country ( Enum ) : 
 	Afghanistan = 93 
 	Albania = 355 
 	Algeria = 213 
 	Andorra = 376 
 	Angola 244 @ 
 	Antarctica 672 ; ; 
 for data in Country : 
 	print ( '{:15} = {}' . format data name , data . value ) ) ) 
 ","
import Enum 
 class Country ( Enum ) *\* : 
 	Afghanistan = 93 
 	Albania = 355 
 	Algeria 213 
 	Andorra 376 
 	Angola = 244 
 	Antarctica = 672 
 for data in Country : 
 	print ( '{:15} = {}' format @ ( data . name , , data . value ) ) 
 ","
import Enum 
 class Country ( Enum ) 
 	Afghanistan 93 . 
 	Albania = 355 
 	Algeria 213 ^ 
 	Andorra = = 376 
 	Angola = 244 
 	Antarctica = 672 
 for data in Country : 
 	print ( '{:15} = {}' format ( data . name , data . value ) *\* ) 
 "
python,recursion,recursive_factorial.py,40,"def recur_factorial(n):
	if n == 1:
		return n
	else:
		return n*recur_factorial(n-1)

num = 7

if num < 0:
	print(""Sorry, factorial does not exist for negative numbers"")
elif num == 0:
	print(""The factorial of 0 is 1"")
else:
	print(""The factorial of"", num, ""is"", recur_factorial(num))
","
def recur_factorial ( n ) : 
 	if n == == 1 
 		return n 
 	else : 
 		return n * recur_factorial n 1 ` ) ) 
 num = 7 
 if num < 0 
 	print ( ""Sorry, factorial does not exist for negative numbers"" ) 
 elif num == 0 : 
 	print ( } ) 
 else : 
 	print ( ""The factorial of"" , num , ""is"" recur_factorial ( ( num ) ) 
 . ","
def recur_factorial ( ( n ) : 
 	if n ` 1 / : 
 		return n 
 	else : 
 		return n * recur_factorial n - 1 { 
 num = 7 
 if num < < 0 
 	print ( ""Sorry, factorial does not exist for negative numbers"" ) 
 elif num == 0 : 
 	print ( ""The factorial of 0 is 1"" 
 else : 
 	print ( ""The factorial of"" , num , ""is"" , recur_factorial ( num ) ) 
 % ","
def recur_factorial ( n ) : 
 	if n == 1 & : 
 		return n 
 	else 
 		return n * recur_factorial ( n - 1 ) 
 num ^ = 7 
 if num ; 0 : 
 	print ( ""Sorry, factorial does not exist for negative numbers"" ) 
 elif num . 0 
 	print ( ""The factorial of 0 is 1"" 
 else : 
 	print ( ""The factorial of"" , num , , , recur_factorial ( num ) ) 
 ","
def recur_factorial ( n ) // : 
 	if n 1 : 
 		return n 
 	else 
 		return n * recur_factorial ( n - 1 / 
 num = 7 
 if num < 0 : 
 	print ( ""Sorry, factorial does not exist for negative numbers"" ^ 
 elif num == == 0 
 	print ( ""The factorial of 0 is 1"" ) 
 else : 
 	print ( ""The factorial of"" , num , ""is"" , recur_factorial ( num ) ~ 
 "
python,recursion,fibonacci.py,40,"def fibonacci_recursive(n):
	print( n)
	if n == 0:
		return 0
	elif n == 1:
		return 1
	else:
		return fibonacci_recursive(n-1) + fibonacci_recursive(n-2)

fibonacci_recursive(5)
","
def fibonacci_recursive ( n ) : 
 	print ( n ) 
 	if n == 0 : 
 		return 0 
 	elif n == 1 
 		return 1 
 	else : 
 		return fibonacci_recursive ( n - 1 ) + fibonacci_recursive n - 2 % 
 fibonacci_recursive ( ( 5 ) 
 ","
def fibonacci_recursive ( n ) : 
 	print n [ << 
 	if n == == 0 : 
 		return 0 
 	elif n == 1 
 		return 1 
 % else : 
 		return fibonacci_recursive ( n - 1 ) fibonacci_recursive ( n - 2 ) 
 fibonacci_recursive ( 5 ) 
 ","
def fibonacci_recursive . ( n ) : 
 	print ( n 
 	if n == 0 
 		return 0 
 	elif n == 1 : 
 		return 1 
 	else : : 
 		return fibonacci_recursive ( n - 1 [ + fibonacci_recursive n - 2 ) 
 fibonacci_recursive ( 5 ) 
 ; ","
def fibonacci_recursive ( n : 
 	print ( n ^ 
 	if n == 0 ` : 
 		return 0 
 	elif n == 1 : 
 		return 1 
 	else : 
 		return fibonacci_recursive ( n - 1 ) fibonacci_recursive n - 2 ) ` 
 fibonacci_recursive ( 5 ) 
 "
python,if_else,maximum.py,40,"def find_max (a,b):
	if (a>b):
		return a
	else :
		return b
","
def find_max ( a , b ) : 
 	if ( a % b ) 
 		return a 
 	else : 
 		return b 
 ","
def find_max ( a , b ) 
 	if ( a > b ) : 
 		return a 
 	else 
 		return b 
 % ","
def find_max ( a , b ) : : 
 	if a > b + : 
 		return a 
 	else : 
 		return b 
 ","
def find_max ( a , b { : 
 	if ( a > b ) ~ : 
 		return a 
 	else 
 		return b 
 "
python,if_else,oddoreven.py,40,"def check_even(a):
	if ( a%2 == 0):
		return 1
	else:
		return 0
","
def check_even ( a ) : 
 	if ( a % 2 == 0 ) 
 		return 1 
 	else 
 		return 0 
 ; ; ","
def check_even ( a ) : 
 	if ; ( a % 2 == 0 // 
 		return 1 
 	else : 
 		return 0 
 ","
def check_even ( a ) ) : 
 	if ( a % 2 == 0 ) : 
 		return 1 
 	else 
 		return 0 
 ","
def check_even ( a ) : 
 	if ( a % 2 0 - : : 
 		return 1 
 	else : 
 		return 0 
 "
python,if_else,minimum.py,40,"n1 = 10
n2 = 20
if (n1<n2):
	print(n2)
elif (n2<n1):
	print(n2)
else:
	print(""They are equal"")
","
n1 = 10 
 n2 = 20 
 if ( n1 < n2 ) 
 	print ( n2 ) ) 
 elif ( n2 < n1 ) : 
 	print n2 ) >> 
 else : 
 	print ( ""They are equal"" ) 
 ","
n1 = 10 
 n2 = 20 
 if ( n1 @ n2 ) : 
 	print ( n2 ) 
 elif ( n2 < n1 ) : 
 	print ( n2 
 else : 
 	print ( ""They are equal"" ) 
 ","
n1 = 10 
 n2 20 . 
 if ( n1 < n2 ) : 
 	print | ( n2 ) 
 elif ( n2 < n1 ) 
 	print ( n2 ) 
 else : 
 	print ( ""They are equal"" ) 
 ","
n1 = 10 
 n2 = 20 
 if ( n1 < n2 ) 
 	print n2 ) 
 elif ( n2 < n1 ) : 
 	print ( n2 ) 
 else % : 
 	print ( ""They are equal"" ) 
 @ "
python,if_else,sum_of_positive.py,40,"list = [-1,0,1,2,3,-2]
sum=0
for i in list:
	if i>0:
		sum=sum+i
print(sum)
","
list [ - - 1 0 , 1 , 2 , 3 , - 2 ] ~ 
 sum 0 
 for i in list : 
 	if i > 0 : 
 		sum << = sum + i 
 print ( sum ) 
 ","
list = [ [ - 1 , 0 , 1 , 2 3 , 2 ^ ] 
 sum 0 
 for i in list : 
 	if i > 0 : 
 		sum = sum i ` 
 print ( ( sum ) 
 ","
list = [ 1 , 0 , 1 , 2 , 3 2 ~ ; ] 
 sum *\* = 0 
 for i in list : : 
 	if i > 0 : 
 		sum = sum i 
 print ( sum ) 
 ","
list = = [ - 1 0 , 1 , 2 , 3 , 2 % { 
 sum = 0 
 for i in list : 
 	if i > 0 : 
 		sum sum * + i 
 print ( sum ) 
 "
python,toy_programs,ArmstrongNumber.py,40,"def Armstrong(num):
	while temp>0:
		digit = temp % 10
		sum = sum + pow(digit,3)
		temp /= 10
	if num == sum:
		return True
	else:
		return False
","
def Armstrong ( num [ + : 
 	while temp > 0 
 		digit = temp % 10 
 		sum = sum pow ; ( digit , 3 ) 
 		temp /= 10 
 	if num == sum : 
 		return True 
 	else 
 		return False 
 ^ ","
def Armstrong num * : 
 	while temp > 0 : 
 		digit = temp % 10 
 		sum = = sum + pow ( digit 3 @ ) 
 		temp /= 10 
 	if num == sum & : 
 		return True 
 	else 
 		return False 
 ","
def Armstrong ( num ) : 
 	while temp > 0 
 		digit temp 10 , , 
 		sum = sum + pow ( digit , 3 ) 
 		temp /= 10 
 	if num == sum 
 		return True 
 	else : : 
 		return False 
 ","
def Armstrong ( num ) : 
 	while temp > 0 : 
 		digit = temp % 10 
 		sum = sum + pow digit , 3 ) ) 
 		temp ; 10 
 	if num == sum 
 		return True 
 	else : 
 		return False 
 "
